Date,Index,Price
2012-10-26,214,10.0
2012-10-29,215,10.8
2012-10-30,216,10.8
2012-10-31,217,11.0
2012-11-01,218,10.85
2012-11-02,219,10.67
2012-11-05,220,10.78
2012-11-06,221,10.74
2012-11-07,222,10.8
2012-11-08,223,10.81
2012-11-09,224,10.8
2012-11-12,225,10.87
2012-11-13,226,10.87
2012-11-14,227,10.97
2012-11-15,228,11.05
2012-11-16,229,11.46
2012-11-19,230,11.65
2012-11-20,231,11.65
2012-11-21,232,11.67
2012-11-22,233,11.88
2012-11-23,234,12.16
2012-11-26,235,12.2
2012-11-27,236,12.07
2012-11-28,237,12.22
2012-11-29,238,12.37
2012-11-30,239,12.43
2012-12-03,240,12.6
2012-12-04,241,12.59
2012-12-05,242,13.2
2012-12-06,243,13.45
2012-12-07,244,13.37
2012-12-10,245,13.3
2012-12-11,246,13.35
2012-12-12,247,13.49
2012-12-13,248,13.52
2012-12-14,249,13.51
2012-12-17,250,13.2
2012-12-18,251,13.13
2012-12-19,252,13.4
2012-12-20,253,13.35
2012-12-21,254,13.2
2012-12-24,255,13.23
2012-12-25,256,13.24
2012-12-26,257,13.18
2012-12-27,258,13.2
2012-12-28,259,13.18
2012-12-31,260,13.24
2013-01-01,261,13.22
2013-01-02,262,13.09
2013-01-03,263,13.19
2013-01-04,264,13.19
2013-01-07,265,13.2
2013-01-08,266,13.5
2013-01-09,267,13.58
2013-01-10,268,14.0
2013-01-11,269,14.0
2013-01-14,270,14.1
2013-01-15,271,14.2
2013-01-16,272,14.53
2013-01-17,273,15.36
2013-01-18,274,15.57
2013-01-21,275,16.52
2013-01-22,276,17.35
2013-01-23,277,17.5
2013-01-24,278,17.29
2013-01-25,279,17.49
2013-01-28,280,18.67
2013-01-29,281,19.35
2013-01-30,282,19.45
2013-01-31,283,20.46
2013-02-01,284,20.35
2013-02-04,285,20.3
2013-02-05,286,20.5
2013-02-06,287,20.91
2013-02-07,288,21.71
2013-02-08,289,22.4
2013-02-11,290,23.94
2013-02-12,291,25.47
2013-02-13,292,25.0
2013-02-14,293,27.4
2013-02-15,294,27.0
2013-02-18,295,26.92
2013-02-19,296,29.39
2013-02-20,297,30.0
2013-02-21,298,30.0
2013-02-22,299,30.4
2013-02-25,300,30.43
2013-02-26,301,31.1
2013-02-27,302,31.31
2013-02-28,303,33.53
2013-03-01,304,34.55
2013-03-04,305,36.52
2013-03-05,306,40.75
2013-03-06,307,42.32
2013-03-07,308,41.68
2013-03-08,309,43.76
2013-03-11,310,48.25
2013-03-12,311,44.84
2013-03-13,312,46.99
2013-03-14,313,46.95
2013-03-15,314,46.9
2013-03-18,315,50.35
2013-03-19,316,59.41
2013-03-20,317,64.2
2013-03-21,318,72.23
2013-03-22,319,69.9
2013-03-25,320,75.11
2013-03-26,321,79.81
2013-03-27,322,89.3
2013-03-28,323,88.52
2013-03-29,324,90.0
2013-04-01,325,104.7
2013-04-02,326,116.0
2013-04-03,327,133.78
2013-04-04,328,135.0
2013-04-05,329,141.8
2013-04-08,330,185.6
2013-04-09,331,229.0
2013-04-10,332,162.0
2013-04-11,333,83.4
2013-04-12,334,109.9
2013-04-15,335,74.0
2013-04-16,336,68.09
2013-04-17,337,89.98
2013-04-18,338,109.3
2013-04-19,339,117.71
2013-04-22,340,123.74
2013-04-23,341,137.29
2013-04-24,342,149.0
2013-04-25,343,141.9
2013-04-26,344,137.3
2013-04-29,345,143.31
2013-04-30,346,139.88
2013-05-01,347,116.75
2013-05-02,348,106.81
2013-05-03,349,98.08
2013-05-06,350,112.71
2013-05-07,351,110.0
2013-05-08,352,113.16
2013-05-09,353,111.96
2013-05-10,354,117.9
2013-05-13,355,115.99
2013-05-14,356,107.0
2013-05-15,357,108.95
2013-05-16,358,113.35
2013-05-17,359,116.73
2013-05-20,360,116.55
2013-05-21,361,117.5
2013-05-22,362,119.11
2013-05-23,363,123.84
2013-05-24,364,128.7
2013-05-27,365,126.25
2013-05-28,366,125.92
2013-05-29,367,130.35
2013-05-30,368,126.81
2013-05-31,369,127.91
2013-06-03,370,123.22
2013-06-04,371,120.57
2013-06-05,372,121.2
2013-06-06,373,118.78
2013-06-07,374,110.18
2013-06-10,375,104.22
2013-06-11,376,107.36
2013-06-12,377,106.56
2013-06-13,378,102.0
2013-06-14,379,99.01
2013-06-17,380,100.0
2013-06-18,381,104.5
2013-06-19,382,105.24
2013-06-20,383,102.61
2013-06-21,384,101.8
2013-06-24,385,99.47
2013-06-25,386,97.87
2013-06-26,387,98.77
2013-06-27,388,96.31
2013-06-28,389,89.96
2013-07-01,390,84.5
2013-07-02,391,88.0
2013-07-03,392,77.01
2013-07-04,393,79.4
2013-07-05,394,66.93
2013-07-08,395,74.4
2013-07-09,396,75.01
2013-07-10,397,86.19
2013-07-11,398,87.13
2013-07-12,399,90.17
2013-07-15,400,93.78
2013-07-16,401,91.55
2013-07-17,402,90.97
2013-07-18,403,85.28
2013-07-19,404,86.51
2013-07-22,405,85.6
2013-07-23,406,86.98
2013-07-24,407,88.42
2013-07-25,408,90.16
2013-07-26,409,89.95
2013-07-29,410,93.39
2013-07-30,411,96.57
2013-07-31,412,98.28
2013-08-01,413,96.62
2013-08-02,414,95.85
2013-08-05,415,97.81
2013-08-06,416,97.69
2013-08-07,417,97.09
2013-08-08,418,94.27
2013-08-09,419,92.27
2013-08-12,420,95.35
2013-08-13,421,98.15
2013-08-14,422,99.19
2013-08-15,423,98.08
2013-08-16,424,98.25
2013-08-19,425,102.85
2013-08-20,426,104.87
2013-08-21,427,110.43
2013-08-22,428,109.12
2013-08-23,429,107.65
2013-08-26,430,111.9
2013-08-27,431,117.75
2013-08-28,432,117.91
2013-08-29,433,118.5
2013-08-30,434,124.86
2013-09-02,435,130.15
2013-09-03,436,129.18
2013-09-04,437,122.81
2013-09-05,438,122.5
2013-09-06,439,117.67
2013-09-09,440,121.68
2013-09-10,441,122.07
2013-09-11,442,127.55
2013-09-12,443,126.38
2013-09-13,444,127.71
2013-09-16,445,126.27
2013-09-17,446,126.92
2013-09-18,447,127.0
2013-09-19,448,124.18
2013-09-20,449,122.91
2013-09-23,450,122.63
2013-09-24,451,123.86
2013-09-25,452,123.25
2013-09-26,453,124.84
2013-09-27,454,126.95
2013-09-30,455,126.25
2013-10-01,456,127.33
2013-10-02,457,103.85
2013-10-03,458,117.63
2013-10-04,459,121.94
2013-10-07,460,123.5
2013-10-08,461,124.13
2013-10-09,462,125.9
2013-10-10,463,126.8
2013-10-11,464,127.38
2013-10-14,465,135.42
2013-10-15,466,142.76
2013-10-16,467,137.56
2013-10-17,468,143.94
2013-10-18,469,152.89
2013-10-21,470,180.13
2013-10-22,471,189.75
2013-10-23,472,203.96
2013-10-24,473,193.87
2013-10-25,474,186.6
2013-10-28,475,196.62
2013-10-29,476,204.69
2013-10-30,477,197.54
2013-10-31,478,203.54
2013-11-01,479,202.15
2013-11-04,480,226.83
2013-11-05,481,242.9
2013-11-06,482,263.24
2013-11-07,483,291.0
2013-11-08,484,334.0
2013-11-11,485,343.91
2013-11-12,486,354.96
2013-11-13,487,393.5
2013-11-14,488,416.95
2013-11-15,489,412.0
2013-11-18,490,669.01
2013-11-19,491,536.01
2013-11-20,492,599.0
2013-11-21,493,720.0
2013-11-22,494,795.0
2013-11-25,495,817.88
2013-11-26,496,916.3
2013-11-27,497,963.98
2013-11-28,498,1012.98
2013-11-29,499,1131.99
2013-12-02,500,1047.47
2013-12-03,501,1055.0
2013-12-04,502,1132.01
2013-12-05,503,1023.87
2013-12-06,504,814.91
2013-12-09,505,899.9
2013-12-10,506,979.23
2013-12-11,507,879.04
2013-12-12,508,871.22
2013-12-13,509,885.98
2013-12-16,510,691.0
2013-12-17,511,673.62
2013-12-18,512,520.0
2013-12-19,513,685.0
2013-12-20,514,610.0
2013-12-23,515,654.76
2013-12-24,516,652.99
2013-12-25,517,679.01
2013-12-26,518,747.0
2013-12-27,519,721.08
2013-12-30,520,736.51
2013-12-31,521,732.0
2014-01-01,522,754.9
2014-01-02,523,784.19
2014-01-03,524,809.4
2014-01-06,525,919.24
2014-01-07,526,785.0
2014-01-08,527,823.45
2014-01-09,528,824.76
2014-01-10,529,852.61
2014-01-13,530,823.0
2014-01-14,531,815.99
2014-01-15,532,841.14
2014-01-16,533,814.4
2014-01-17,534,797.2
2014-01-20,535,826.02
2014-01-21,536,824.89
2014-01-22,537,819.2
2014-01-23,538,812.0
2014-01-24,539,780.0
2014-01-27,540,751.95
2014-01-28,541,788.0
2014-01-29,542,794.21
2014-01-30,543,799.99
2014-01-31,544,803.0
2014-02-03,545,808.5
2014-02-04,546,802.99
