Holding Period(Years),Annualized Return,Buy Price,Buy Date,Sell Price,Sell Date
1.207171314741036,40.79224670258893,12.5,2012-10-05,1132.01,2013-12-04
1.2111553784860558,41.28978971635483,12.14,2012-10-01,1131.99,2013-11-29
1.2151394422310757,40.381437602259,12.28,2012-09-28,1131.99,2013-11-29
1.2191235059760956,40.0456108964338,12.22,2012-09-27,1131.99,2013-11-29
1.2231075697211156,39.770895142879446,12.14,2012-10-01,1132.01,2013-12-04
1.2270916334661355,40.368715031671506,11.75,2012-09-25,1131.99,2013-11-29
1.2310756972111554,39.454334188251295,11.9,2012-09-24,1131.99,2013-11-29
1.2350597609561753,38.202585426618725,12.19,2012-09-21,1131.99,2013-11-29
1.2390438247011952,38.91014604241011,11.75,2012-09-25,1132.01,2013-12-04
1.2430278884462151,38.040884068650655,11.9,2012-09-24,1132.01,2013-12-04
1.247011952191235,37.55992883909361,11.91,2012-09-18,1131.99,2013-11-29
1.250996015936255,37.26821157000006,11.85,2012-09-17,1131.99,2013-11-29
1.254980079681275,37.742563748511294,11.5,2012-09-14,1131.99,2013-11-29
1.2589641434262948,37.83421759060072,11.3,2012-09-13,1131.99,2013-11-29
1.2629482071713147,37.82442838042174,11.14,2012-09-12,1131.99,2013-11-29
1.2669322709163346,37.654397466910524,11.04,2012-09-11,1131.99,2013-11-29
1.2709163346613546,37.460995511057455,10.95,2012-09-10,1131.99,2013-11-29
1.2749003984063745,36.80834038381212,11.03,2012-09-07,1131.99,2013-11-29
1.2788844621513944,36.40942456249685,11.02,2012-09-06,1131.99,2013-11-29
1.2828685258964143,36.17570646989138,10.95,2012-09-10,1132.01,2013-12-04
1.2868525896414342,37.378163118150844,10.36,2012-09-04,1131.99,2013-11-29
1.2908366533864541,36.41800476228816,10.55,2012-09-03,1131.99,2013-11-29
1.294820717131474,37.09556048940117,10.16,2012-08-31,1131.99,2013-11-29
1.298804780876494,36.11185223773404,10.36,2012-09-04,1132.01,2013-12-04
1.302788844621514,35.195500249476765,10.55,2012-09-03,1132.01,2013-12-04
1.3067729083665338,35.84860257586856,10.16,2012-08-31,1132.01,2013-12-04
1.3107569721115537,34.16039064862617,10.65,2012-08-30,1132.01,2013-12-04
1.3147410358565736,34.49471586371798,10.37,2012-08-24,1131.99,2013-11-29
1.3187250996015936,35.04023294093118,10.02,2012-08-23,1131.99,2013-11-29
1.3227091633466135,34.8154548137422,9.96,2012-08-22,1131.99,2013-11-29
1.3266932270916334,33.853921226924,10.18,2012-08-21,1131.99,2013-11-29
1.3306772908366533,33.8987790739891,10.02,2012-08-23,1132.01,2013-12-04
1.3346613545816732,33.68639541525108,9.96,2012-08-22,1132.01,2013-12-04
1.3386454183266931,32.76659534204001,10.18,2012-08-21,1132.01,2013-12-04
1.342629482071713,32.73719759437239,10.05,2012-08-20,1132.01,2013-12-04
1.346613545816733,29.988918066223523,10.05,2012-08-20,1023.87,2013-12-05
1.350597609561753,28.878974541640446,9.96,2012-08-22,979.23,2013-12-10
1.3545816733067728,28.95489185176694,11.32,2012-08-10,1131.99,2013-11-29
1.3585657370517927,29.290383292131626,11.0,2012-08-09,1131.99,2013-11-29
1.3625498007968126,29.009817941665755,10.99,2012-08-08,1131.99,2013-11-29
1.3665338645418326,29.197685709006823,10.75,2012-08-07,1131.99,2013-11-29
1.3705179282868525,28.718677402872938,10.84,2012-08-06,1131.99,2013-11-29
1.3745019920318724,28.527086858787573,10.79,2012-08-03,1131.99,2013-11-29
1.3784860557768925,28.947481374176117,10.44,2012-08-02,1131.99,2013-11-29
1.3824701195219125,30.871592524208726,9.45,2012-08-01,1131.99,2013-11-29
1.3864541832669324,30.972011897733882,9.28,2012-07-31,1131.99,2013-11-29
1.3904382470119523,31.361419655944793,9.0,2012-07-30,1131.99,2013-11-29
1.3944223107569722,31.482723757447957,8.83,2012-07-27,1131.99,2013-11-29
1.3984063745019921,31.372204553796337,8.75,2012-07-26,1131.99,2013-11-29
1.402390438247012,31.34445456092915,8.64,2012-07-25,1131.99,2013-11-29
1.406374501992032,31.10678955502268,8.61,2012-07-24,1131.99,2013-11-29
1.4103585657370519,30.846160476042403,8.59,2012-07-23,1131.99,2013-11-29
1.4143426294820718,30.93246875904165,8.44,2012-07-20,1131.99,2013-11-29
1.4183266932270917,30.182163920993595,8.61,2012-07-24,1132.01,2013-12-04
1.4223107569721116,29.933690946215357,8.59,2012-07-23,1132.01,2013-12-04
1.4262948207171315,30.0193415962007,8.44,2012-07-20,1132.01,2013-12-04
1.4302788844621515,30.085025129321235,8.3,2012-07-16,1131.99,2013-11-29
1.4342629482071714,31.770479046841047,7.59,2012-07-13,1131.99,2013-11-29
1.4382470119521913,31.455236396673605,7.59,2012-07-12,1131.99,2013-11-29
1.4422310756972112,32.53624798686671,7.14,2012-07-11,1131.99,2013-11-29
1.4462151394422311,32.407665038227044,7.08,2012-07-10,1131.99,2013-11-29
1.450199203187251,32.54600695230357,6.94,2012-07-09,1131.99,2013-11-29
1.454183266932271,33.428314095227144,6.59,2012-07-06,1131.99,2013-11-29
1.4581673306772909,33.061590581654656,6.6,2012-07-05,1131.99,2013-11-29
1.4621513944223108,33.306713931050695,6.44,2012-07-04,1131.99,2013-11-29
1.4661354581673307,32.97871065690499,6.44,2012-07-03,1131.99,2013-11-29
1.4701195219123506,32.09883480612293,6.6,2012-07-05,1132.01,2013-12-04
1.4741035856573705,32.337674848171936,6.44,2012-07-04,1132.01,2013-12-04
1.4780876494023905,32.02405200770773,6.44,2012-07-03,1132.01,2013-12-04
1.4820717131474104,31.54437968443171,6.49,2012-06-27,1131.99,2013-11-29
1.4860557768924303,31.51216653870923,6.41,2012-06-26,1131.99,2013-11-29
1.4900398406374502,31.726882139787662,6.26,2012-06-25,1131.99,2013-11-29
1.4940239043824701,30.65055470893937,6.49,2012-06-27,1132.01,2013-12-04
1.49800796812749,30.62181816025475,6.41,2012-06-26,1132.01,2013-12-04
1.50199203187251,30.83133087839348,6.26,2012-06-25,1132.01,2013-12-04
1.5059760956175299,29.889051433258462,6.46,2012-06-19,1131.99,2013-11-29
1.5099601593625498,30.93435948020837,6.06,2012-06-18,1131.99,2013-11-29
1.5139442231075697,29.461077264573802,6.42,2012-06-15,1131.99,2013-11-29
1.5179282868525896,30.91665839328432,5.9,2012-06-14,1131.99,2013-11-29
1.5219123505976095,30.770308792672065,5.86,2012-06-13,1131.99,2013-11-29
1.5258964143426295,31.024323634443647,5.71,2012-06-12,1131.99,2013-11-29
1.5298804780876494,31.44636863607701,5.52,2012-06-11,1131.99,2013-11-29
1.5338645418326693,30.817192046247577,5.61,2012-06-08,1131.99,2013-11-29
1.5378486055776892,30.829153117769433,5.53,2012-06-07,1131.99,2013-11-29
1.5418326693227091,30.99789335590423,5.41,2012-06-06,1131.99,2013-11-29
1.545816733067729,30.865972457870235,5.37,2012-06-05,1131.99,2013-11-29
1.549800796812749,31.166331010115016,5.22,2012-06-04,1131.99,2013-11-29
1.5537848605577689,30.881327357166242,5.22,2012-06-01,1131.99,2013-11-29
1.5577689243027888,30.796134989652398,5.17,2012-05-31,1131.99,2013-11-29
1.5617529880478087,30.63443408237301,5.14,2012-05-30,1131.99,2013-11-29
1.5657370517928286,30.475056963754287,5.11,2012-05-29,1131.99,2013-11-29
1.5697211155378485,30.357310986291264,5.07,2012-05-28,1131.99,2013-11-29
1.5737051792828685,30.04608422534967,5.08,2012-05-25,1131.99,2013-11-29
1.5776892430278884,29.663601128776982,5.11,2012-05-29,1132.01,2013-12-04
1.5816733067729083,29.551765936895148,5.07,2012-05-28,1132.01,2013-12-04
1.5856573705179282,29.4417533701617,5.03,2012-05-22,1131.99,2013-11-29
1.5896414342629481,28.995034747999128,5.08,2012-05-21,1131.99,2013-11-29
1.593625498007968,28.77787694814423,5.07,2012-05-18,1131.99,2013-11-29
1.597609561752988,28.710664280526004,5.02,2012-05-17,1131.99,2013-11-29
1.6015936254980079,28.38801228620664,5.04,2012-05-16,1131.99,2013-11-29
1.6055776892430278,28.471412825185663,4.95,2012-05-15,1131.99,2013-11-29
1.6095617529880477,28.299230968514717,4.93,2012-05-14,1131.99,2013-11-29
1.6135458167330676,27.98308796290323,4.95,2012-05-11,1131.99,2013-11-29
1.6175298804780875,28.03474604440885,4.87,2012-05-10,1131.99,2013-11-29
1.6215139442231075,27.579112983561377,4.93,2012-05-14,1132.01,2013-12-04
1.6254980079681276,27.274719923348158,4.95,2012-05-11,1132.01,2013-12-04
1.6294820717131475,27.326459157066235,4.87,2012-05-10,1132.01,2013-12-04
1.6334661354581674,26.57940146835582,5.02,2012-05-09,1132.01,2013-12-04
1.6374501992031874,26.357711426567892,5.02,2012-05-08,1132.01,2013-12-04
1.6414342629482073,26.040532713273553,5.05,2012-05-07,1132.01,2013-12-04
1.6454183266932272,26.08681601606169,4.97,2012-05-01,1131.99,2013-11-29
1.649402390438247,25.77395976890888,5.0,2012-04-30,1131.99,2013-11-29
1.653386454183267,25.435001452465354,5.04,2012-04-27,1131.99,2013-11-29
1.657370517928287,25.450275407760937,4.97,2012-05-01,1132.01,2013-12-04
1.6613545816733069,25.148447651028395,5.0,2012-04-30,1132.01,2013-12-04
1.6653386454183268,24.82122947799896,5.04,2012-04-27,1132.01,2013-12-04
1.6693227091633467,24.806124901011952,4.98,2012-04-26,1132.01,2013-12-04
1.6733067729083666,24.127772064272047,5.14,2012-04-25,1132.01,2013-12-04
1.6772908366533865,24.111257779513192,5.08,2012-04-24,1132.01,2013-12-04
1.6812749003984064,24.15657590932567,5.0,2012-04-23,1132.01,2013-12-04
1.6852589641434264,24.024684877182565,4.98,2012-04-17,1131.99,2013-11-29
1.6892430278884463,23.83536677500493,4.98,2012-04-16,1131.99,2013-11-29
1.6932270916334662,23.795693928332213,4.93,2012-04-13,1131.99,2013-11-29
1.697211155378486,23.6095166081891,4.93,2012-04-12,1131.99,2013-11-29
1.701195219123506,23.454769948510716,4.92,2012-04-11,1131.99,2013-11-29
1.705179282868526,23.62684275355305,4.8,2012-04-10,1131.99,2013-11-29
1.7091633466135459,23.59382585811118,4.75,2012-04-09,1131.99,2013-11-29
1.7131474103585658,22.915628746451727,4.92,2012-04-11,1132.01,2013-12-04
1.7171314741035857,23.083978246699253,4.8,2012-04-10,1132.01,2013-12-04
1.7211155378486056,23.0531542983187,4.75,2012-04-09,1132.01,2013-12-04
1.7250996015936255,22.204550605897552,4.99,2012-04-06,1132.01,2013-12-04
1.7290836653386454,22.01038241860248,5.0,2012-04-05,1132.01,2013-12-04
1.7330677290836654,22.167337531999472,4.88,2012-03-30,1131.99,2013-11-29
1.7370517928286853,22.110186509773225,4.84,2012-03-29,1131.99,2013-11-29
1.7410358565737052,21.703183450051007,4.93,2012-03-28,1131.99,2013-11-29
1.745019920318725,21.781170657355588,4.84,2012-03-27,1131.99,2013-11-29
1.749003984063745,21.918813321677316,4.73,2012-03-26,1131.99,2013-11-29
1.752988047808765,21.620159078290637,4.78,2012-03-23,1131.99,2013-11-29
1.7569721115537849,21.302070969620136,4.84,2012-03-27,1132.01,2013-12-04
1.7609561752988048,21.436980539507854,4.73,2012-03-26,1132.01,2013-12-04
1.7649402390438247,21.14763438314864,4.78,2012-03-23,1132.01,2013-12-04
1.7689243027888446,20.86443196853973,4.83,2012-03-19,1131.99,2013-11-29
1.7729083665338645,20.390743353981986,4.96,2012-03-21,1132.01,2013-12-04
1.7768924302788844,20.665427833157715,4.79,2012-03-20,1132.01,2013-12-04
